OrderDate,OrderTotal
2021-01-10,1600
2021-01-11,200
2021-01-13,1800
2021-01-14,400
2021-01-16,800
2021-01-17,800
2021-01-19,600
2021-01-20,2000
2021-01-23,4000
2021-01-25,1400
2021-01-28,600
2021-01-29,1400
2021-01-31,1200
2021-02-01,2000
2021-02-03,1000
2021-02-04,1200
2021-02-07,1800
2021-02-08,1000
2021-02-09,1400
2021-02-10,1000
2021-02-12,1200
2021-02-13,1000
2021-02-15,600
2021-02-16,1800
2021-02-18,400
2021-02-19,400
2021-02-20,1000
2021-02-21,800
2021-02-22,1600
2021-02-24,2200
2021-02-27,1000
2021-02-28,1000
2021-03-03,1600
2021-03-05,1200
2021-03-06,1400
2021-03-08,800
2021-03-09,1000
2021-03-11,400
2021-03-12,800
2021-03-13,1000
2021-03-14,2200
2021-03-15,1800
2021-03-17,800
2021-03-18,800
2021-03-19,800
2021-03-20,1400
2021-03-21,1400
2021-03-23,1400
2021-03-24,1200
2021-03-27,200
2021-03-28,800
2021-03-30,200
2021-04-01,1000
2021-04-02,400
2021-04-04,400
