OrderDate,OrderTotal
2021-01-11,1200
2021-01-14,1800
2021-01-17,600
2021-01-20,1200
2021-01-23,3200
2021-01-25,600
2021-01-28,1200
2021-02-01,600
2021-02-03,600
2021-02-06,1200
2021-02-07,600
2021-02-10,1200
2021-02-11,600
2021-02-13,1200
2021-02-16,2000
2021-02-18,600
2021-02-19,1000
2021-02-22,800
2021-02-24,1200
2021-02-27,1000
2021-03-01,1000
2021-03-03,800
2021-03-06,2600
2021-03-08,1600
2021-03-11,600
2021-03-14,800
2021-03-15,600
2021-03-17,600
2021-03-20,1400
2021-03-26,1200
2021-03-29,1600
