OrderDate,OrderTotal
2021-01-11,1800
2021-01-12,2000
2021-01-14,1400
2021-01-16,2800
2021-01-17,1000
2021-01-18,800
2021-01-19,2200
2021-01-20,400
2021-01-22,1800
2021-01-25,400
2021-01-26,1200
2021-01-27,1400
2021-01-28,1000
2021-01-29,400
2021-01-31,2600
2021-02-01,800
2021-02-03,1000
2021-02-04,1400
2021-02-05,2200
2021-02-07,800
2021-02-08,1400
2021-02-10,1600
2021-02-13,2000
2021-02-14,600
2021-02-15,1200
2021-02-16,1800
2021-02-17,600
2021-02-18,1000
2021-02-19,1000
2021-02-20,800
2021-02-21,200
2021-02-22,600
2021-02-24,2200
2021-02-25,2200
2021-02-27,800
2021-02-28,1000
2021-03-01,1200
2021-03-02,1000
2021-03-03,1400
2021-03-04,1200
2021-03-05,1200
2021-03-06,800
2021-03-07,600
2021-03-08,2200
2021-03-09,1000
2021-03-12,3000
2021-03-14,600
2021-03-15,1000
2021-03-16,800
2021-03-17,1200
2021-03-18,1600
2021-03-21,1200
2021-03-23,1000
2021-03-24,1200
2021-03-25,1000
2021-03-26,800
2021-03-28,1400
2021-03-29,800
2021-04-02,2000
2021-04-03,200
