OrderDate,OrderTotal
2021-01-10,1400
2021-01-11,1400
2021-01-13,2000
2021-01-14,400
2021-01-16,1600
2021-01-17,800
2021-01-18,200
2021-01-19,1200
2021-01-20,400
2021-01-21,1400
2021-01-22,400
2021-01-23,1000
2021-01-25,1400
2021-01-26,800
2021-01-27,1000
2021-01-28,1600
2021-01-30,200
2021-01-31,2400
2021-02-04,3000
2021-02-06,1200
2021-02-07,800
2021-02-09,1200
2021-02-10,800
2021-02-11,600
2021-02-12,1200
2021-02-13,1600
2021-02-15,600
2021-02-16,2800
2021-02-18,400
2021-02-19,200
2021-02-20,1000
2021-02-22,1000
2021-02-24,1000
2021-02-25,1000
2021-02-26,1400
2021-02-28,1200
2021-03-01,1000
2021-03-02,200
2021-03-03,1400
2021-03-05,800
2021-03-06,1800
2021-03-09,1000
2021-03-11,600
2021-03-12,1200
2021-03-13,800
2021-03-14,200
2021-03-15,200
2021-03-16,600
2021-03-17,1400
2021-03-18,800
2021-03-20,1400
2021-03-23,2600
2021-03-24,1400
2021-03-26,600
2021-03-27,800
2021-03-28,800
2021-03-29,1000
2021-03-30,1000
2021-04-01,1400
2021-04-03,600
2021-04-04,800
