OrderDate,OrderTotal
2021-01-11,200
2021-01-14,2000
2021-01-17,1000
2021-01-20,1400
2021-01-23,1400
2021-01-25,800
2021-01-28,1200
2021-02-01,800
2021-02-03,800
2021-02-06,1000
2021-02-07,1200
2021-02-10,1000
2021-02-11,1200
2021-02-13,600
2021-02-16,400
2021-02-18,1000
2021-02-19,1000
2021-02-22,1000
2021-02-24,1600
2021-02-27,600
2021-03-01,600
2021-03-03,1000
2021-03-06,1200
2021-03-08,200
2021-03-11,600
2021-03-14,1600
2021-03-15,200
2021-03-17,600
2021-03-20,600
2021-03-26,400
2021-03-29,1400
