OrderDate,OrderTotal
2021-01-10,1200
2021-01-11,1200
2021-01-13,2200
2021-01-14,800
2021-01-16,1000
2021-01-17,2200
2021-01-18,3200
2021-01-20,800
2021-01-21,1000
2021-01-22,1000
2021-01-23,2600
2021-01-25,600
2021-01-26,1200
2021-01-28,2400
2021-01-29,400
2021-01-31,2200
2021-02-01,1000
2021-02-02,1200
2021-02-03,600
2021-02-04,800
2021-02-05,2000
2021-02-06,1200
2021-02-08,1000
2021-02-09,3200
2021-02-11,200
2021-02-12,1600
2021-02-13,600
2021-02-14,1200
2021-02-15,2800
2021-02-16,800
2021-02-19,2400
2021-02-20,600
2021-02-21,2000
2021-02-22,600
2021-02-23,600
2021-02-24,800
2021-02-25,1400
2021-02-26,1200
2021-02-28,1200
2021-03-01,1600
2021-03-03,3600
2021-03-05,800
2021-03-06,1200
2021-03-07,3000
2021-03-09,400
2021-03-11,1000
2021-03-12,800
2021-03-13,400
2021-03-14,2600
2021-03-15,1000
2021-03-17,1600
2021-03-18,2000
2021-03-19,1600
2021-03-20,1200
2021-03-21,600
2021-03-22,400
2021-03-23,400
2021-03-24,1400
2021-03-25,400
2021-03-26,1000
2021-03-28,800
2021-03-29,800
2021-03-31,1000
