OrderDate,OrderTotal
2021-01-11,2400
2021-01-12,1600
2021-01-14,1400
2021-01-16,3400
2021-01-17,1600
2021-01-18,1000
2021-01-19,1200
2021-01-20,1600
2021-01-22,2800
2021-01-23,400
2021-01-25,400
2021-01-26,2800
2021-01-27,800
2021-01-28,2800
2021-01-29,1000
2021-01-31,2000
2021-02-01,1200
2021-02-03,1600
2021-02-04,800
2021-02-05,1600
2021-02-07,2600
2021-02-08,1000
2021-02-10,4200
2021-02-13,2600
2021-02-14,600
2021-02-15,1000
2021-02-16,1600
2021-02-17,600
2021-02-18,1000
2021-02-19,2000
2021-02-20,2000
2021-02-21,400
2021-02-22,1600
2021-02-24,1400
2021-02-25,1400
2021-02-27,400
2021-02-28,800
2021-03-01,600
2021-03-02,1800
2021-03-03,1000
2021-03-04,1000
2021-03-05,1400
2021-03-06,400
2021-03-07,1200
2021-03-08,1200
2021-03-09,2000
2021-03-12,4000
2021-03-14,800
2021-03-15,1800
2021-03-16,1200
2021-03-17,2600
2021-03-18,1000
2021-03-21,1000
2021-03-23,600
2021-03-24,600
2021-03-25,800
2021-03-26,1600
2021-03-28,800
2021-03-29,1000
2021-04-02,1600
2021-04-03,2000
